keyword,product_family,modifier,volume,global_volume,KD,CPC,tool_intent,inferred_intent,B2B_B2C,product_fit,commercial_value,source,status,notes
girls formal gloves,Kids Girls and Princess Dress Gloves,formal,,,,,,Commercial children formal discovery,B2C-led with B2B conversion,HIGH,HIGH,Google live SERP US 2026-08-31,COMMERCIAL_PRODUCT,"Supports independent kids category."
girls wedding gloves,Kids Girls and Princess Dress Gloves,wedding,,,,,,Commercial bridal children discovery,B2C-led with B2B conversion,HIGH,MEDIUM,Google live SERP US 2026-08-31,COMMERCIAL_PRODUCT,"Valid but less natural than flower girl gloves."
kids costume gloves,Kids Girls and Princess Dress Gloves,costume,,,,,,Halloween and character accessory discovery,MIXED,MEDIUM,MEDIUM,Google live SERP US 2026-08-31,QUARANTINED,"Cross-link opportunity; broad character intent."
wedding veils,Wedding and Bridal Veils,,6600,30300,31,0.54,Commercial,Commercial bridal discovery,B2C-led with B2B conversion,HIGH,HIGH,THIRD_PARTY_SEMRUSH_INTERFACE manual review US 2026-08-31,TRAFFIC,"Core category after factory confirmation; high-fit product keyword drives B2B conversion."
bridal veils,Wedding and Bridal Veils,,4400,16200,31,0.55,Commercial,Commercial bridal discovery with location pollution,MIXED,HIGH,HIGH,THIRD_PARTY_SEMRUSH_INTERFACE manual review US 2026-08-31,COMMERCIAL_PRODUCT,"Supporting synonym; Bridal Veil Falls and Yosemite contaminate the broader universe."
bridal veil wholesale,Wedding and Bridal Veils,wholesale,10,,,,Unavailable,B2B procurement,B2B_MONEY,HIGH,HIGH,THIRD_PARTY_SEMRUSH_INTERFACE manual review US 2026-08-31,B2B_MONEY,"Use on the Wedding Veils owner; no separate modifier route."
wedding veils wholesale,Wedding and Bridal Veils,wholesale,10,,,,Unavailable,B2B procurement,B2B_MONEY,HIGH,HIGH,THIRD_PARTY_SEMRUSH_INTERFACE manual review US 2026-08-31,B2B_MONEY,"Use on the Wedding Veils owner; no separate modifier route."
wholesale gloves,Generic non-target,wholesale,480,,,,B2B procurement,Nitrile latex disposable and work procurement,NON_TARGET,LOW,LOW,THIRD_PARTY_SEMRUSH_INTERFACE manual review plus Google US 2026-08-31,EXCLUDED,"Volume is irrelevant to this factory's product scope."
mesh gloves,Generic non-target,mesh,1000,,5,0.45,Informational plus Commercial,Industrial sport chainmail and fashion,MIXED,MEDIUM,LOW,THIRD_PARTY_SEMRUSH_INTERFACE plus Google US 2026-08-31,QUARANTINED,"No generic mesh owner."
fingerless gloves,Generic non-target,fingerless,50000,,60,0.53,Commercial,Winter work leather sport and fashion mixed,NON_TARGET,LOW,LOW,THIRD_PARTY_SEMRUSH_INTERFACE seed plus Google US 2026-08-31,EXCLUDED,"High volume is dominated by non-target intent."
